clean_text,y
Francamente es mal armado,0
Se siente vale callampa,0
"Nada que ver, vale callampa",0
Se siente no prende,0
Se siente no prende,0
"En general, flojo",0
"Nada que ver, mal trato",0
Se siente vale callampa,0
"La verdad, bastante cero empatía",0
"En general, vale callampa",0
"La verdad, bastante frío",0
La experiencia fue confuso,0
La experiencia fue no prende,0
Francamente es una lata,0
Francamente es puro humo,0
Francamente es decepcionante,0
"Nada que ver, una lata",0
Se siente penca,0
"En general, no da la talla",0
Termina siendo desordenado,0
Todo resultó decepcionante,0
Se siente frío,0
"En general, no prende",0
"Nada que ver, cero empatía",0
"La verdad, bastante malísimo",0
Francamente es mal armado,0
Se siente improvisado,0
"En general, no prende",0
Termina siendo penca,0
Todo resultó malísimo,0
"La verdad, bastante mal armado",0
"La verdad, bastante poco profesional",0
Todo resultó no da la talla,0
"Nada que ver, improvisado",0
Todo resultó fome,0
"La verdad, bastante pesado",0
"La verdad, bastante mal atendido",0
"Nada que ver, no prende",0
Todo resultó desordenado,0
"La verdad, bastante poco profesional",0
Termina siendo malísimo,0
Todo resultó no da la talla,0
Todo resultó un cacho,0
"En general, flojo",0
"Nada que ver, flojo",0
Termina siendo frío,0
Francamente es poco claro,0
La experiencia fue confuso,0
Termina siendo frío,0
La experiencia fue no da la talla,0
"La verdad, bastante no prende",0
Francamente es no cumple,0
"Nada que ver, pesado",0
"Nada que ver, improvisado",0
Termina siendo mal armado,0
Se siente malísimo,0
"En general, una lata",0
La experiencia fue mal atendido,0
"Nada que ver, latero",0
Se siente pesado,0
Termina siendo cero empatía,0
Termina siendo pesado,0
Todo resultó poco profesional,0
"En general, cero empatía",0
Termina siendo pesado,0
"Nada que ver, poco profesional",0
"Nada que ver, poco serio",0
Se siente vale callampa,0
Se siente poco profesional,0
La experiencia fue no cumple,0
Francamente es mal armado,0
Termina siendo cero empatía,0
"Nada que ver, decepcionante",0
Se siente poco profesional,0
"En general, no cumple",0
Francamente es vale callampa,0
"La verdad, bastante confuso",0
Termina siendo poco claro,0
La experiencia fue decepcionante,0
Todo resultó poco claro,0
Se siente no cumple,0
"La verdad, bastante poco claro",0
Se siente latero,0
Termina siendo no cumple,0
La experiencia fue improvisado,0
"Nada que ver, puro humo",0
Francamente es penca,0
Termina siendo vale callampa,0
"Nada que ver, mal armado",0
"Nada que ver, improvisado",0
Se siente poco profesional,0
Termina siendo vale callampa,0
Francamente es no da la talla,0
Todo resultó confuso,0
La experiencia fue mal trato,0
"En general, decepcionante",0
Todo resultó frío,0
La experiencia fue no da la talla,0
"En general, desordenado",0
Se siente decepcionante,0
"En general, mal trato",0
"La verdad, bastante fome",0
"Nada que ver, cero empatía",0
Termina siendo malísimo,0
Francamente es malísimo,0
La experiencia fue cero empatía,0
"Nada que ver, poco profesional",0
Termina siendo poco claro,0
"La verdad, bastante un cacho",0
Termina siendo una lata,0
La experiencia fue mal atendido,0
Todo resultó una lata,0
Se siente puro humo,0
Francamente es improvisado,0
Termina siendo flojo,0
Termina siendo no cumple,0
Se siente vale callampa,0
"La verdad, bastante poco serio",0
"La verdad, bastante malísimo",0
Se siente confuso,0
Se siente decepcionante,0
Todo resultó decepcionante,0
"La verdad, bastante mal atendido",0
La experiencia fue poco claro,0
"La verdad, bastante cero empatía",0
Termina siendo frío,0
"En general, mal atendido",0
Termina siendo fome,0
"Nada que ver, cero empatía",0
Francamente es un cacho,0
Se siente frío,0
"En general, puro humo",0
La experiencia fue desordenado,0
"En general, improvisado",0
"La verdad, bastante una lata",0
"La verdad, bastante fome",0
Todo resultó vale callampa,0
Termina siendo poco profesional,0
"La verdad, bastante poco serio",0
Termina siendo poco serio,0
Termina siendo frío,0
"Nada que ver, cero empatía",0
Termina siendo no cumple,0
Termina siendo un cacho,0
Se siente frío,0
Francamente es vale callampa,0
La experiencia fue confuso,0
"Nada que ver, no da la talla",0
La experiencia fue frío,0
"En general, una lata",0
"En general, mal armado",0
"Nada que ver, puro humo",0
"Nada que ver, flojo",0
Termina siendo pesado,0
Francamente es latero,0
Se siente fome,0
Francamente es improvisado,0
Termina siendo cero empatía,0
Todo resultó latero,0
Termina siendo poco serio,0
La experiencia fue improvisado,0
Termina siendo no prende,0
Se siente frío,0
"En general, no prende",0
"La verdad, bastante improvisado",0
"En general, poco serio",0
"La verdad, bastante no cumple",0
La experiencia fue latero,0
Se siente poco serio,0
"En general, latero",0
Francamente es penca,0
"La verdad, bastante mal trato",0
"Nada que ver, mal atendido",0
"En general, no prende",0
Termina siendo frío,0
Termina siendo improvisado,0
"La verdad, bastante puro humo",0
"La verdad, bastante desordenado",0
"En general, frío",0
"Nada que ver, frío",0
"En general, decepcionante",0
Termina siendo frío,0
Francamente es confuso,0
Se siente mal atendido,0
Todo resultó confuso,0
"En general, frío",0
La experiencia fue poco profesional,0
"Nada que ver, no da la talla",0
"Nada que ver, mal armado",0
Todo resultó flojo,0
Se siente decepcionante,0
"La verdad, bastante cero empatía",0
Termina siendo latero,0
La experiencia fue no prende,0
Se siente decepcionante,0
Termina siendo desordenado,0
"La verdad, bastante no da la talla",0
"Nada que ver, mal armado",0
"La verdad, bastante no cumple",0
"En general, vale callampa",0
Se siente penca,0
Todo resultó desordenado,0
"La verdad, bastante mal trato",0
"Nada que ver, no prende",0
Todo resultó fome,0
Todo resultó decepcionante,0
"Nada que ver, un cacho",0
Termina siendo desordenado,0
Se siente mal armado,0
"La verdad, bastante cero empatía",0
Se siente malísimo,0
"Nada que ver, pesado",0
Todo resultó no prende,0
Se siente mal atendido,0
"Nada que ver, mal atendido",0
Todo resultó mal armado,0
Todo resultó no prende,0
Se siente pesado,0
La experiencia fue no prende,0
"En general, cero empatía",0
Se siente malísimo,0
Todo resultó un cacho,0
Francamente es no da la talla,0
"La verdad, bastante una lata",0
Francamente es decepcionante,0
"La verdad, bastante flojo",0
Todo resultó latero,0
Se siente latero,0
Termina siendo flojo,0
La experiencia fue poco claro,0
Todo resultó latero,0
La experiencia fue no prende,0
Se siente confuso,0
La experiencia fue mal atendido,0
Se siente flojo,0
La experiencia fue no da la talla,0
Francamente es desordenado,0
"En general, poco serio",0
Todo resultó poco profesional,0
"En general, poco claro",0
"La verdad, bastante puro humo",0
"La verdad, bastante fome",0
Todo resultó poco serio,0
"Nada que ver, penca",0
La experiencia fue fome,0
Termina siendo mal atendido,0
La experiencia fue malísimo,0
"En general, vale callampa",0
Francamente es pesado,0
"Nada que ver, mal atendido",0
Francamente es puro humo,0
"Nada que ver, no prende",0
"La verdad, bastante no cumple",0
La experiencia fue mal atendido,0
"La verdad, bastante decepcionante",0
Se siente malísimo,0
Francamente es flojo,0
"La verdad, bastante vale callampa",0
La experiencia fue puro humo,0
"La verdad, bastante no da la talla",0
Se siente no prende,0
Termina siendo decepcionante,0
"La verdad, bastante un cacho",0
"La verdad, bastante malísimo",0
Francamente es una lata,0
"En general, un cacho",0
"En general, no da la talla",0
"Nada que ver, latero",0
La experiencia fue mal trato,0
"En general, no prende",0
"La verdad, bastante poco serio",0
Se siente improvisado,0
"En general, fome",0
Francamente es poco profesional,0
La experiencia fue penca,0
"Nada que ver, penca",0
"Nada que ver, fome",0
"En general, vale callampa",0
La experiencia fue poco claro,0
"Nada que ver, improvisado",0
Todo resultó pesado,0
"La verdad, bastante no prende",0
Todo resultó fome,0
"La verdad, bastante poco profesional",0
Se siente improvisado,0
"La verdad, bastante poco claro",0
Todo resultó desordenado,0
"En general, penca",0
"Nada que ver, latero",0
Todo resultó malísimo,0
La experiencia fue fome,0
"La verdad, bastante mal armado",0
"En general, no da la talla",0
Todo resultó flojo,0
Todo resultó latero,0
"Nada que ver, mal armado",0
Todo resultó no da la talla,0
Todo resultó decepcionante,0
"Nada que ver, no cumple",0
Todo resultó improvisado,0
"En general, no cumple",0
"En general, improvisado",0
Se siente poco profesional,0
"Nada que ver, improvisado",0
Se siente malísimo,0
La experiencia fue penca,0
"En general, mal trato",0
"Nada que ver, no da la talla",0
"La verdad, bastante poco serio",0
Francamente es una lata,0
Todo resultó poco profesional,0
La experiencia fue mal atendido,0
Todo resultó flojo,0
"Nada que ver, flojo",0
Francamente es un cacho,0
"La verdad, bastante malísimo",0
Termina siendo improvisado,0
Se siente pesado,0
"La verdad, bastante mal armado",0
"La verdad, bastante confuso",0
Termina siendo vale callampa,0
"Nada que ver, cero empatía",0
La experiencia fue penca,0
"Nada que ver, fome",0
Francamente es vale callampa,0
Se siente desordenado,0
"Nada que ver, puro humo",0
"En general, desordenado",0
"La verdad, bastante cero empatía",0
Se siente improvisado,0
"En general, poco profesional",0
La experiencia fue una lata,0
"En general, latero",0
"En general, vale callampa",0
"En general, no da la talla",0
"La verdad, bastante decepcionante",0
"En general, mal trato",0
"En general, decepcionante",0
Todo resultó fome,0
Termina siendo malísimo,0
La experiencia fue poco serio,0
"Nada que ver, desordenado",0
Se siente mal atendido,0
"La verdad, bastante no prende",0
Se siente poco claro,0
"En general, flojo",0
Se siente fome,0
"La verdad, bastante malísimo",0
"La verdad, bastante fome",0
Termina siendo penca,0
Francamente es pesado,0
Todo resultó mal armado,0
"En general, confuso",0
Se siente flojo,0
Termina siendo no cumple,0
Todo resultó desordenado,0
Termina siendo confuso,0
Termina siendo flojo,0
Se siente un cacho,0
Francamente es vale callampa,0
Se siente latero,0
Francamente es frío,0
"Nada que ver, mal armado",0
La experiencia fue confuso,0
"En general, confuso",0
Francamente es poco profesional,0
"La verdad, bastante vale callampa",0
"La verdad, bastante desordenado",0
Todo resultó un cacho,0
Termina siendo mal armado,0
Francamente es mal trato,0
"La verdad, bastante latero",0
Todo resultó poco profesional,0
"Nada que ver, mal armado",0
Todo resultó poco claro,0
Todo resultó poco serio,0
Todo resultó cero empatía,0
Termina siendo puro humo,0
Francamente es poco serio,0
"Nada que ver, penca",0
"En general, confuso",0
Se siente un cacho,0
"En general, una lata",0
"La verdad, bastante mal atendido",0
Termina siendo poco claro,0
Se siente latero,0
Francamente es poco serio,0
Termina siendo un cacho,0
La experiencia fue poco profesional,0
Francamente es cero empatía,0
Francamente es cero empatía,0
La experiencia fue confuso,0
"En general, poco profesional",0
"La verdad, bastante fome",0
"La verdad, bastante improvisado",0
"En general, fome",0
"En general, confuso",0
Se siente poco profesional,0
Francamente es latero,0
Se siente poco serio,0
"Nada que ver, flojo",0
La experiencia fue flojo,0
Francamente es desordenado,0
"En general, pesado",0
Se siente mal armado,0
"La verdad, bastante confuso",0
"En general, fome",0
Se siente improvisado,0
Francamente es penca,0
La experiencia fue flojo,0
Se siente puro humo,0
"En general, decepcionante",0
"Nada que ver, penca",0
"Nada que ver, penca",0
"La verdad, bastante poco claro",0
Se siente poco profesional,0
La experiencia fue poco claro,0
Todo resultó mal trato,0
Se siente improvisado,0
Todo resultó decepcionante,0
Todo resultó latero,0
Todo resultó no prende,0
Termina siendo mal atendido,0
"Nada que ver, penca",0
Se siente mal trato,0
Francamente es mal trato,0
Se siente no da la talla,0
La experiencia fue no da la talla,0
Termina siendo mal trato,0
"Nada que ver, no prende",0
"En general, poco claro",0
Francamente es no cumple,0
La experiencia fue poco profesional,0
Francamente es poco claro,0
La experiencia fue flojo,0
"En general, una lata",0
La experiencia fue latero,0
Francamente es una lata,0
Francamente es poco claro,0
La experiencia fue cero empatía,0
Todo resultó no cumple,0
Termina siendo vale callampa,0
"La verdad, bastante no cumple",0
Todo resultó mal atendido,0
Francamente es no cumple,0
"En general, poco profesional",0
"En general, pesado",0
"Nada que ver, no cumple",0
Francamente es poco serio,0
La experiencia fue poco serio,0
"En general, vale callampa",0
Se siente una lata,0
"La verdad, bastante decepcionante",0
Todo resultó improvisado,0
"En general, poco claro",0
Francamente es no prende,0
"En general, frío",0
Termina siendo latero,0
Francamente es una lata,0
"En general, desordenado",0
"En general, mal armado",0
La experiencia fue poco profesional,0
Todo resultó frío,0
Termina siendo una lata,0
Francamente es no da la talla,0
"En general, mal atendido",0
Todo resultó fome,0
"La verdad, bastante malísimo",0
Se siente poco claro,0
Todo resultó vale callampa,0
"Nada que ver, fome",0
"Nada que ver, poco profesional",0
La experiencia fue mal trato,0
Se siente flojo,0
"Nada que ver, desordenado",0
La experiencia fue latero,0
Todo resultó penca,0
Todo resultó desordenado,0
Todo resultó mal trato,0
La experiencia fue flojo,0
Todo resultó poco serio,0
Todo resultó flojo,0
Termina siendo frío,0
Todo resultó no prende,0
"La verdad, bastante una lata",0
Termina siendo vale callampa,0
Todo resultó decepcionante,0
Todo resultó no da la talla,0
Todo resultó no da la talla,0
"Nada que ver, improvisado",0
Todo resultó poco profesional,0
"Nada que ver, fome",0
"Nada que ver, mal trato",0
Todo resultó mal atendido,0
"Nada que ver, improvisado",0
"La verdad, bastante penca",0
Se siente frío,0
"La verdad, bastante pesado",0
Francamente es fome,0
Termina siendo no prende,0
"En general, un cacho",0
Termina siendo no cumple,0
Termina siendo penca,0
"En general, vale callampa",0
La experiencia fue poco profesional,0
Termina siendo fome,0
Francamente es flojo,0
Se siente fome,0
La experiencia fue fome,0
"En general, una lata",0
"La verdad, bastante vale callampa",0
Se siente no da la talla,0
Todo resultó penca,0
"En general, puro humo",0
Francamente es pesado,0
"En general, decepcionante",0
"En general, un cacho",0
Todo resultó latero,0
Francamente es vale callampa,0
"La verdad, bastante flojo",0
Termina siendo latero,0
Se siente poco serio,0
La experiencia fue vale callampa,0
La experiencia fue malísimo,0
